text
"Добрый день, проходила обучение в УЦ Престиж Санкт-Петербург с октября 2020 по февраль 2021 по курсу «Маникюр + педикюр с"
Уважаемая администрация интерната и сотрудники хоз части! Уборка в туалетах не должна лежать на детях. Это квалифицируется как незаконное использование
Поступил сюда учиться против своего желания. Но был готов получить образование судомеханика. В конце концов все здесь происходящее само отбило
"Записалась я на курсы парикмахеров в эту школу, вип курсы. Так вышло, что не сложилось с няней, и не с"
"Вы не знаете куда отправить на обучение ваше чадо? Европа слишком дорогая, а ваша страна не слишком перспективная? Выход есть!"
"Университет-убийца. Уже не одна смерть студентов на счету этого прославленного университета. Дети выбрасываются из окон, а «слуги здоровья человеческого» продолжают"
"Была довольна школой на Шведском переулке, но по определенным обстоятельствам пришлось перевестись в школу на Васильевском острове. Все началось с"
не верьте красивому сайту Академии и русской школы. Там ужасное отношение к преподавателям и студентам. Там ежегодно депортируют учителей из
Не советую сюда обращаться.Как было дело:В феврале увидела набор в группу на курс по шитью нижнего белья. На мои вопросы
"Чат поступающих в вуз завален возмущениями абитуриентов, которым на апелляции объяснили их провал тем, что у них - а) нет"
